,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.statement.select.SelectTest.xml,-1,45123,42983,Not provided,BuildwithMaven,BuildwithMaven
1,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.statement.ConditionalKeywordsTest.xml,-1,36161,35429,Not provided,BuildwithMaven,BuildwithMaven
2,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.statement.create.CreateTableTest.xml,-1,38862,38383,Not provided,BuildwithMaven,BuildwithMaven
3,/home/runner/work/JSqlParser/JSqlParser/target/site/jacoco/jacoco.xml,-1,75561,66403,Not provided,BuildwithMaven,BuildwithMaven
4,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.expression.operators.arithmetic.ArithmethicTests.xml,-1,35292,35002,Not provided,BuildwithMaven,BuildwithMaven
5,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.statement.update.UpdateTest.xml,-1,39862,39589,Not provided,BuildwithMaven,BuildwithMaven
6,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.parser.CCJSqlParserUtilTest.xml,-1,47890,47626,Not provided,BuildwithMaven,BuildwithMaven
7,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.expression.LimitExpressionTest.xml,-1,33869,33612,Not provided,BuildwithMaven,BuildwithMaven
8,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.expression.OverlapsConditionTest.xml,-1,33606,33368,Not provided,BuildwithMaven,BuildwithMaven
9,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.util.validation.validator.AlterValidatorTest.xml,-1,49018,48790,Not provided,BuildwithMaven,BuildwithMaven
10,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.statement.create.CreateViewTest.xml,-1,37997,37783,Not provided,BuildwithMaven,BuildwithMaven
11,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.util.validation.validator.CreateSequenceValidatorTest.xml,-1,50996,50780,Not provided,BuildwithMaven,BuildwithMaven
12,/home/runner/work/JSqlParser/JSqlParser/target/site/jacoco/net.sf.jsqlparser.parser/CCJSqlParser.java.html,-1,72277,71949,Not provided,BuildwithMaven,BuildwithMaven
13,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.statement.alter.AlterSequenceTest.xml,-1,47046,46844,Not provided,BuildwithMaven,BuildwithMaven
14,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.statement.select.NestedBracketsPerformanceTest.xml,-1,41172,40971,Not provided,BuildwithMaven,BuildwithMaven
15,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.util.validation.metadata.DatabaseMetaDataValidationTest.xml,-1,51865,51666,Not provided,BuildwithMaven,BuildwithMaven
16,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.schema.SequenceTest.xml,-1,32877,32683,Not provided,BuildwithMaven,BuildwithMaven
17,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.util.validation.ValidationTest.xml,-1,48261,48072,Not provided,BuildwithMaven,BuildwithMaven
18,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.statement.select.KSQLTest.xml,-1,45650,45462,Not provided,BuildwithMaven,BuildwithMaven
19,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.util.deparser.ExpressionDeParserTest.xml,-1,52428,52241,Not provided,BuildwithMaven,BuildwithMaven
20,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.statement.SetStatementTest.xml,-1,36796,36611,Not provided,BuildwithMaven,BuildwithMaven
21,/home/runner/work/JSqlParser/JSqlParser/target/surefire-reports/TEST-net.sf.jsqlparser.util.validation.validator.InsertValidatorTest.xml,-1,48784,48602,Not provided,BuildwithMaven,BuildwithMaven
