,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/Java-WebSocket/Java-WebSocket/autobahn reports/servers/index.html,-1,1003,-1,Not provided,uses14,Not provided
1,/home/runner/work/Java-WebSocket/Java-WebSocket/autobahn reports/clients/index.html,-1,973,-1,Not provided,uses14,Not provided
2,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/autobahn/AutobahnServerResultsTest.java,-1,1484,-1,Not provided,uses14,Not provided
3,/home/runner/work/Java-WebSocket/Java-WebSocket/autobahn reports/servers/index.json,-1,1013,1005,Not provided,uses14,uses14
4,/home/runner/work/Java-WebSocket/Java-WebSocket/eclipse-java-google-style.xml,-1,1027,1023,Not provided,uses14,uses14
5,/home/runner/work/Java-WebSocket/Java-WebSocket/target/checkstyle-suppressions.xml,2157,2168,2150,CodeStyleCheck,CodeStyleCheck,CodeStyleCheck
6,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/drafts/Draft_6455Test.java,-1,1511,1508,Not provided,uses14,uses14
7,/home/runner/work/Java-WebSocket/Java-WebSocket/CHANGELOG.md,-1,946,943,Not provided,uses14,uses14
8,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/protocols/ProtocolHandshakeRejectionTest.java,-1,1750,1747,Not provided,uses14,uses14
9,/home/runner/work/Java-WebSocket/Java-WebSocket/target/checkstyle-cachefile,-1,2452,2449,Not provided,CodeStyleCheck,CodeStyleCheck
10,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/example/AutobahnClientTest.java,-1,1517,-1,Not provided,uses14,Not provided
11,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/example/AutobahnSSLServerTest.java,-1,1521,1519,Not provided,uses14,uses14
12,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/example/AutobahnServerTest.java,-1,1525,1523,Not provided,uses14,uses14
13,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/exceptions/IncompleteExceptionTest.java,-1,1533,1531,Not provided,uses14,uses14
14,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/exceptions/IncompleteHandshakeExceptionTest.java,-1,1537,1535,Not provided,uses14,uses14
15,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/exceptions/InvalidDataExceptionTest.java,-1,1541,1539,Not provided,uses14,uses14
16,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/exceptions/InvalidEncodingExceptionTest.java,-1,1545,1543,Not provided,uses14,uses14
17,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/exceptions/InvalidFrameExceptionTest.java,-1,1549,1547,Not provided,uses14,uses14
18,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/exceptions/InvalidHandshakeExceptionTest.java,-1,1553,1551,Not provided,uses14,uses14
19,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/exceptions/LimitExceededExceptionTest.java,-1,1557,1555,Not provided,uses14,uses14
20,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/exceptions/NotSendableExceptionTest.java,-1,1561,1559,Not provided,uses14,uses14
21,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/exceptions/WebsocketNotConnectedExceptionTest.java,-1,1565,1563,Not provided,uses14,uses14
22,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/extensions/CompressionExtensionTest.java,-1,1573,1571,Not provided,uses14,uses14
23,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/extensions/DefaultExtensionTest.java,-1,1577,1575,Not provided,uses14,uses14
24,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/extensions/PerMessageDeflateExtensionTest.java,-1,1581,1579,Not provided,uses14,uses14
25,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/framing/BinaryFrameTest.java,-1,1589,1587,Not provided,uses14,uses14
26,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/framing/CloseFrameTest.java,-1,1593,1591,Not provided,uses14,uses14
27,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/framing/ContinuousFrameTest.java,-1,1597,1595,Not provided,uses14,uses14
28,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/client/SchemaCheckTest.java,-1,1502,1500,Not provided,uses14,uses14
29,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/client/HeadersTest.java,-1,1498,1496,Not provided,uses14,uses14
30,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/AllTests.java,-1,1472,1468,Not provided,uses14,uses14
31,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/framing/PingFrameTest.java,-1,1605,1603,Not provided,uses14,uses14
32,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/client/AllClientTests.java,-1,1490,-1,Not provided,uses14,Not provided
33,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/client/AttachmentTest.java,-1,1494,1492,Not provided,uses14,uses14
34,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/framing/FramedataImpl1Test.java,-1,1601,1599,Not provided,uses14,uses14
35,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue256Test.java,-1,1635,1633,Not provided,uses14,uses14
36,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/framing/PongFrameTest.java,-1,1609,1607,Not provided,uses14,uses14
37,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/framing/TextFrameTest.java,-1,1613,1611,Not provided,uses14,uses14
38,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue997Test.java,-1,1723,1721,Not provided,uses14,uses14
39,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/keystore.jks,-1,1727,1725,Not provided,uses14,uses14
40,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/keystore_localhost_only.jks,-1,1731,1729,Not provided,uses14,uses14
41,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/misc/AllMiscTests.java,-1,1737,-1,Not provided,uses14,Not provided
42,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/misc/OpeningHandshakeRejectionTest.java,-1,1741,1739,Not provided,uses14,uses14
43,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/protocols/ProtocolTest.java,-1,1754,1752,Not provided,uses14,uses14
44,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/server/CustomSSLWebSocketServerFactoryTest.java,-1,1762,1760,Not provided,uses14,uses14
45,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/server/DefaultSSLWebSocketServerFactoryTest.java,-1,1766,1764,Not provided,uses14,uses14
46,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/server/DefaultWebSocketServerFactoryTest.java,-1,1770,1768,Not provided,uses14,uses14
47,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/server/SSLParametersWebSocketServerFactoryTest.java,-1,1774,1772,Not provided,uses14,uses14
48,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/server/WebSocketServerTest.java,-1,1778,1776,Not provided,uses14,uses14
49,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/util/Base64Test.java,-1,1784,-1,Not provided,uses14,Not provided
50,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/util/ByteBufferUtilsTest.java,-1,1788,1786,Not provided,uses14,uses14
51,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/util/CharsetfunctionsTest.java,-1,1792,1790,Not provided,uses14,uses14
52,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/util/KeyUtils.java,-1,1796,1794,Not provided,uses14,uses14
53,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/util/SSLContextUtil.java,-1,1800,1798,Not provided,uses14,uses14
54,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/util/SocketUtil.java,-1,1804,1802,Not provided,uses14,uses14
55,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/util/ThreadCheck.java,-1,1808,1806,Not provided,uses14,uses14
56,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/resources/org/java_websocket/AutobahnClient.feature,-1,1814,-1,Not provided,uses14,Not provided
57,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue962Test.java,-1,1719,1717,Not provided,uses14,uses14
58,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue941Test.java,-1,1715,1713,Not provided,uses14,uses14
59,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue900Test.java,-1,1711,1709,Not provided,uses14,uses14
60,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue666Test.java,-1,1659,1657,Not provided,uses14,uses14
61,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/AllIssueTests.java,-1,1619,-1,Not provided,uses14,Not provided
62,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue1142Test.java,-1,1623,1621,Not provided,uses14,uses14
63,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue1160Test.java,-1,1627,1625,Not provided,uses14,uses14
64,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue1203Test.java,-1,1631,1629,Not provided,uses14,uses14
65,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue580Test.java,-1,1639,1637,Not provided,uses14,uses14
66,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue598Test.java,-1,1643,1641,Not provided,uses14,uses14
67,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue609Test.java,-1,1647,1645,Not provided,uses14,uses14
68,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue621Test.java,-1,1651,1649,Not provided,uses14,uses14
69,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue661Test.java,-1,1655,1653,Not provided,uses14,uses14
70,/home/runner/work/Java-WebSocket/Java-WebSocket/src/test/java/org/java_websocket/issues/Issue677Test.java,-1,1663,1661,Not provided,uses14,uses14
