,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/Java-WebSocket/Java-WebSocket/autobahn reports/servers/index.html,-1,8246,-1,Not provided,uses11,Not provided
1,/home/runner/work/Java-WebSocket/Java-WebSocket/autobahn reports/clients/index.html,-1,8215,-1,Not provided,uses11,Not provided
2,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.drafts/Draft_6455.java.html,-1,19207,19190,Not provided,Buildandanalyze,Buildandanalyze
3,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/jacoco-resources/prettify.js,-1,17983,17974,Not provided,Buildandanalyze,Buildandanalyze
4,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.util/Base64.java.html,-1,19038,19022,Not provided,Buildandanalyze,Buildandanalyze
5,/home/runner/work/Java-WebSocket/Java-WebSocket/target/checkstyle-suppressions.xml,23975,23986,17573,Buildandanalyze,Buildandanalyze,Buildandanalyze
6,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/jacoco-sessions.html,-1,19422,19414,Not provided,Buildandanalyze,Buildandanalyze
7,/home/runner/work/Java-WebSocket/Java-WebSocket/autobahn reports/servers/index.json,-1,8256,8248,Not provided,uses11,uses11
8,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.server/WebSocketServer.java.html,-1,19319,19305,Not provided,Buildandanalyze,Buildandanalyze
9,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.client/WebSocketClient.java.html,-1,19122,19110,Not provided,Buildandanalyze,Buildandanalyze
10,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket/WebSocketImpl.java.html,-1,18607,18595,Not provided,Buildandanalyze,Buildandanalyze
11,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.drafts/Draft_6455.html,-1,19224,19218,Not provided,Buildandanalyze,Buildandanalyze
12,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.server/WebSocketServer.html,-1,19354,19348,Not provided,Buildandanalyze,Buildandanalyze
13,/home/runner/work/Java-WebSocket/Java-WebSocket/target/Java-WebSocket-1.5.4-SNAPSHOT.jar,17885,23811,17146,Buildandanalyze,Buildandanalyze,Buildandanalyze
14,/home/runner/work/Java-WebSocket/Java-WebSocket/target/checkstyle-cachefile,23996,24012,17870,Buildandanalyze,Buildandanalyze,Buildandanalyze
15,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket.client/WebSocketClient.html,-1,19134,19128,Not provided,Buildandanalyze,Buildandanalyze
16,/home/runner/work/Java-WebSocket/Java-WebSocket/target/site/jacoco/org.java_websocket/WebSocketImpl.html,-1,18624,18618,Not provided,Buildandanalyze,Buildandanalyze
17,/home/runner/work/Java-WebSocket/Java-WebSocket/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,23186,23191,14553,Buildandanalyze,Buildandanalyze,Buildandanalyze
