,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/commons-lang/commons-lang/target/rat.txt,-1,8606,4918,Not provided,BuildwithMaven,BuildwithMaven
1,/home/runner/work/commons-lang/commons-lang/.gitattributes,-1,1385,1383,Not provided,usescheckout,usescheckout
2,/home/runner/work/commons-lang/commons-lang/LICENSE.txt,-1,1441,1439,Not provided,usescheckout,usescheckout
3,/home/runner/work/commons-lang/commons-lang/NOTICE.txt,-1,1445,1443,Not provided,usescheckout,usescheckout
4,/home/runner/work/commons-lang/commons-lang/RELEASE-NOTES.txt,-1,1453,1451,Not provided,usescheckout,usescheckout
5,/home/runner/work/commons-lang/commons-lang/src/test/resources/lang-708-input.txt,-1,3910,3908,Not provided,usescheckout,usescheckout
6,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.1.txt,-1,2679,2677,Not provided,usescheckout,usescheckout
7,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.0.txt,-1,2675,2673,Not provided,usescheckout,usescheckout
8,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-1.0.txt,-1,2671,2669,Not provided,usescheckout,usescheckout
9,/home/runner/work/commons-lang/commons-lang/src/site/resources/images/logo.png,-1,2647,2645,Not provided,usescheckout,usescheckout
10,/home/runner/work/commons-lang/commons-lang/src/site/resources/download_lang.cgi,-1,2639,2637,Not provided,usescheckout,usescheckout
11,/home/runner/work/commons-lang/commons-lang/src/site/resources/.htaccess,-1,2623,2621,Not provided,usescheckout,usescheckout
12,/home/runner/work/commons-lang/commons-lang/src/media/logo.xcf,-1,2615,2613,Not provided,usescheckout,usescheckout
13,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.3.txt,-1,2687,2685,Not provided,usescheckout,usescheckout
14,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.2.txt,-1,2683,2681,Not provided,usescheckout,usescheckout
15,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.4.txt,-1,2691,2689,Not provided,usescheckout,usescheckout
16,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.7.txt,-1,2751,2749,Not provided,usescheckout,usescheckout
17,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.9.txt,-1,2763,2761,Not provided,usescheckout,usescheckout
18,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.8.txt,-1,2759,2757,Not provided,usescheckout,usescheckout
19,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.8.1.txt,-1,2755,2753,Not provided,usescheckout,usescheckout
20,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.6.txt,-1,2747,2745,Not provided,usescheckout,usescheckout
21,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.5.txt,-1,2695,2693,Not provided,usescheckout,usescheckout
22,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.5.txt,-1,2743,2741,Not provided,usescheckout,usescheckout
23,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.4.txt,-1,2739,2737,Not provided,usescheckout,usescheckout
24,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.3.txt,-1,2735,2733,Not provided,usescheckout,usescheckout
25,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.3.2.txt,-1,2731,2729,Not provided,usescheckout,usescheckout
26,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.3.1.txt,-1,2727,2725,Not provided,usescheckout,usescheckout
27,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.2.txt,-1,2723,2721,Not provided,usescheckout,usescheckout
28,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.2.1.txt,-1,2719,2717,Not provided,usescheckout,usescheckout
29,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.10.txt,-1,2715,2713,Not provided,usescheckout,usescheckout
30,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.1.txt,-1,2711,2709,Not provided,usescheckout,usescheckout
31,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.0.txt,-1,2707,2705,Not provided,usescheckout,usescheckout
32,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.0.1.txt,-1,2703,2701,Not provided,usescheckout,usescheckout
33,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.6.txt,-1,2699,2697,Not provided,usescheckout,usescheckout
