,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/jacoco-sessions.html,-1,44059,43930,Not provided,BuildwithMaven,BuildwithMaven
1,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/jacoco.xml,-1,44061,42155,Not provided,BuildwithMaven,BuildwithMaven
2,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/jacoco-resources/prettify.js,-1,42149,42140,Not provided,BuildwithMaven,BuildwithMaven
3,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/petclinic-ermodel.png,-1,776,771,Not provided,uses-checkout,uses-checkout
4,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/.mvn/wrapper/maven-wrapper.jar,-1,753,749,Not provided,uses-checkout,uses-checkout
5,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,5054,5050,Not provided,BuildwithMaven,BuildwithMaven
6,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.service/ClinicServiceImpl.html,-1,43259,43255,Not provided,BuildwithMaven,BuildwithMaven
7,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.mapper/index.html,-1,43492,43489,Not provided,BuildwithMaven,BuildwithMaven
8,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.repository.jpa/index.html,-1,43399,43396,Not provided,BuildwithMaven,BuildwithMaven
9,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.service/ClinicServiceImpl.java.html,-1,43245,43239,Not provided,BuildwithMaven,BuildwithMaven
10,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.mapper/PetMapperImpl.html,-1,43463,43460,Not provided,BuildwithMaven,BuildwithMaven
11,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.rest.controller/OwnerRestController.java.html,-1,43539,43534,Not provided,BuildwithMaven,BuildwithMaven
