,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/webdrivermanager/webdrivermanager/docs/webdrivermanager.pdf,-1,1508,1411,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
1,/home/runner/work/webdrivermanager/webdrivermanager/src/doc/asciidoc/img/wdm-vnc.png,-1,1601,1574,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
2,/home/runner/work/webdrivermanager/webdrivermanager/docs/img/wdm-vnc.png,-1,1365,1339,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
3,/home/runner/work/webdrivermanager/webdrivermanager/docs/index.html,-1,1388,1375,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
4,/home/runner/work/webdrivermanager/webdrivermanager/src/main/resources/browserwatcher-display-csp-1.2.0.crx,-1,1861,1849,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
5,/home/runner/work/webdrivermanager/webdrivermanager/src/main/resources/browserwatcher-display-1.2.0.crx,-1,1847,1835,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
6,/home/runner/work/webdrivermanager/webdrivermanager/src/main/resources/browserwatcher-csp-1.2.0.crx,-1,1833,1821,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
7,/home/runner/work/webdrivermanager/webdrivermanager/src/main/resources/browserwatcher-1.2.0.crx,-1,1819,1807,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
8,/home/runner/work/webdrivermanager/webdrivermanager/src/main/java/io/github/bonigarcia/wdm/WebDriverManager.java,-1,1642,1636,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
9,/home/runner/work/webdrivermanager/webdrivermanager/src/doc/asciidoc/index.adoc,-1,1617,1611,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
10,/home/runner/work/webdrivermanager/webdrivermanager/docs/img/display-console-logs-example-v3.png,-1,1307,-1,Not provided,CheckoutGitHubrepo,Not provided
11,/home/runner/work/webdrivermanager/webdrivermanager/src/doc/asciidoc/img/display-console-logs-example-v3.png,-1,1552,-1,Not provided,CheckoutGitHubrepo,Not provided
12,/home/runner/work/webdrivermanager/webdrivermanager/docs/img/selenium-webdriver-architecture.png,-1,1328,1323,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
13,/home/runner/work/webdrivermanager/webdrivermanager/src/doc/asciidoc/img/selenium-webdriver-architecture.png,-1,1568,1563,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
14,/home/runner/work/webdrivermanager/webdrivermanager/docs/css/FaceType-PublicaPlay-Regular.woff,-1,1292,-1,Not provided,CheckoutGitHubrepo,Not provided
15,/home/runner/work/webdrivermanager/webdrivermanager/docs/mirror/selenium,-1,1405,1401,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
16,/home/runner/work/webdrivermanager/webdrivermanager/src/main/java/io/github/bonigarcia/wdm/config/Config.java,-1,1664,1660,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
17,/home/runner/work/webdrivermanager/webdrivermanager/src/doc/asciidoc/css/FaceType-PublicaPlay-Regular.woff,-1,1533,-1,Not provided,CheckoutGitHubrepo,Not provided
18,/home/runner/work/webdrivermanager/webdrivermanager/docs/mirror/geckodriver,-1,1395,-1,Not provided,CheckoutGitHubrepo,Not provided
19,/home/runner/work/webdrivermanager/webdrivermanager/src/test/java/io/github/bonigarcia/wdm/test/properties/PropertiesTest.java,-1,2176,-1,Not provided,CheckoutGitHubrepo,Not provided
20,/home/runner/work/webdrivermanager/webdrivermanager/docs/img/sidebar-bg.jpg,-1,1333,1330,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
21,/home/runner/work/webdrivermanager/webdrivermanager/docs/img/pre-bg.jpg,-1,1321,1318,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
22,/home/runner/work/webdrivermanager/webdrivermanager/docs/img/info-bg.jpg,-1,1316,1313,Not provided,CheckoutGitHubrepo,CheckoutGitHubrepo
